id,year,month,department,category,budget_eur,version
1,2023,01,HR,Salaries,2293.0,v1
2,2023,01,HR,Training,4768.76,v1
3,2023,01,HR,Recruitment,1642.21,v1
4,2023,01,Medical,Medications,1377.75,v1
5,2023,01,Medical,Medical Equipment,2062.46,v1
6,2023,01,Medical,Consultations,4644.17,v1
7,2023,01,Logistics,Fuel,2257.65,v1
8,2023,01,Logistics,Transport,2894.97,v1
9,2023,01,Logistics,Vehicle Maintenance,2026.05,v1
10,2023,01,Supply,Supplies,1024.42,v1
11,2023,01,Supply,Warehousing,2683.43,v1
12,2023,01,Supply,Cold Chain,2050.49,v1
13,2023,02,HR,Salaries,3163.32,v1
14,2023,02,HR,Training,4703.0,v1
15,2023,02,HR,Recruitment,2661.61,v1
16,2023,02,Medical,Medications,4502.85,v1
17,2023,02,Medical,Medical Equipment,3096.96,v1
18,2023,02,Medical,Consultations,4940.52,v1
19,2023,02,Logistics,Fuel,1043.97,v1
20,2023,02,Logistics,Transport,2826.67,v1
21,2023,02,Logistics,Vehicle Maintenance,4109.97,v1
22,2023,02,Supply,Supplies,4189.52,v1
23,2023,02,Supply,Warehousing,1934.94,v1
24,2023,02,Supply,Cold Chain,3767.57,v1
25,2023,03,HR,Salaries,2980.86,v1
26,2023,03,HR,Training,2617.24,v1
27,2023,03,HR,Recruitment,2776.44,v1
28,2023,03,Medical,Medications,4653.87,v1
29,2023,03,Medical,Medical Equipment,2296.91,v1
30,2023,03,Medical,Consultations,3528.97,v1
31,2023,03,Logistics,Fuel,4611.07,v1
32,2023,03,Logistics,Transport,1453.57,v1
33,2023,03,Logistics,Vehicle Maintenance,3427.49,v1
34,2023,03,Supply,Supplies,3886.93,v1
35,2023,03,Supply,Warehousing,4001.33,v1
36,2023,03,Supply,Cold Chain,1217.35,v1
37,2023,04,HR,Salaries,4500.61,v1
38,2023,04,HR,Training,3674.18,v1
39,2023,04,HR,Recruitment,1896.25,v1
40,2023,04,Medical,Medications,2348.66,v1
41,2023,04,Medical,Medical Equipment,2482.45,v1
42,2023,04,Medical,Consultations,2789.0,v1
43,2023,04,Logistics,Fuel,4909.3,v1
44,2023,04,Logistics,Transport,3722.52,v1
45,2023,04,Logistics,Vehicle Maintenance,2227.92,v1
46,2023,04,Supply,Supplies,1448.62,v1
47,2023,04,Supply,Warehousing,4763.14,v1
48,2023,04,Supply,Cold Chain,4718.94,v1
49,2023,05,HR,Salaries,2152.06,v1
50,2023,05,HR,Training,3406.63,v1
51,2023,05,HR,Recruitment,3413.69,v1
52,2023,05,Medical,Medications,3001.79,v1
53,2023,05,Medical,Medical Equipment,2839.61,v1
54,2023,05,Medical,Consultations,4147.27,v1
55,2023,05,Logistics,Fuel,4697.71,v1
56,2023,05,Logistics,Transport,3423.53,v1
57,2023,05,Logistics,Vehicle Maintenance,3663.22,v1
58,2023,05,Supply,Supplies,4099.46,v1
59,2023,05,Supply,Warehousing,2400.4,v1
60,2023,05,Supply,Cold Chain,1407.7,v1
61,2023,06,HR,Salaries,2714.83,v1
62,2023,06,HR,Training,4094.69,v1
63,2023,06,HR,Recruitment,4284.38,v1
64,2023,06,Medical,Medications,1317.19,v1
65,2023,06,Medical,Medical Equipment,2524.84,v1
66,2023,06,Medical,Consultations,4107.7,v1
67,2023,06,Logistics,Fuel,4582.53,v1
68,2023,06,Logistics,Transport,3654.31,v1
69,2023,06,Logistics,Vehicle Maintenance,1078.48,v1
70,2023,06,Supply,Supplies,4542.69,v1
71,2023,06,Supply,Warehousing,2545.57,v1
72,2023,06,Supply,Cold Chain,3155.24,v1
73,2023,07,HR,Salaries,3343.83,v1
74,2023,07,HR,Training,2619.73,v1
75,2023,07,HR,Recruitment,3998.01,v1
76,2023,07,Medical,Medications,4229.83,v1
77,2023,07,Medical,Medical Equipment,2714.64,v1
78,2023,07,Medical,Consultations,4015.1,v1
79,2023,07,Logistics,Fuel,2376.93,v1
80,2023,07,Logistics,Transport,2362.14,v1
81,2023,07,Logistics,Vehicle Maintenance,3670.8,v1
82,2023,07,Supply,Supplies,1152.77,v1
83,2023,07,Supply,Warehousing,1695.53,v1
84,2023,07,Supply,Cold Chain,3738.93,v1
85,2023,08,HR,Salaries,2253.09,v1
86,2023,08,HR,Training,2380.6,v1
87,2023,08,HR,Recruitment,4661.4,v1
88,2023,08,Medical,Medications,4620.96,v1
89,2023,08,Medical,Medical Equipment,4844.47,v1
90,2023,08,Medical,Consultations,4122.28,v1
91,2023,08,Logistics,Fuel,2526.11,v1
92,2023,08,Logistics,Transport,4233.83,v1
93,2023,08,Logistics,Vehicle Maintenance,2165.46,v1
94,2023,08,Supply,Supplies,4230.77,v1
95,2023,08,Supply,Warehousing,4406.7,v1
96,2023,08,Supply,Cold Chain,1206.79,v1
97,2023,09,HR,Salaries,3722.67,v1
98,2023,09,HR,Training,4164.0,v1
99,2023,09,HR,Recruitment,1195.38,v1
100,2023,09,Medical,Medications,4570.29,v1
101,2023,09,Medical,Medical Equipment,1629.54,v1
102,2023,09,Medical,Consultations,1278.62,v1
103,2023,09,Logistics,Fuel,4881.86,v1
104,2023,09,Logistics,Transport,1859.82,v1
105,2023,09,Logistics,Vehicle Maintenance,1929.92,v1
106,2023,09,Supply,Supplies,2377.46,v1
107,2023,09,Supply,Warehousing,4326.08,v1
108,2023,09,Supply,Cold Chain,3799.89,v1
109,2023,10,HR,Salaries,2433.99,v1
110,2023,10,HR,Training,2190.61,v1
111,2023,10,HR,Recruitment,2650.63,v1
112,2023,10,Medical,Medications,2889.54,v1
113,2023,10,Medical,Medical Equipment,2887.08,v1
114,2023,10,Medical,Consultations,2273.89,v1
115,2023,10,Logistics,Fuel,1108.01,v1
116,2023,10,Logistics,Transport,2350.76,v1
117,2023,10,Logistics,Vehicle Maintenance,3799.09,v1
118,2023,10,Supply,Supplies,3975.68,v1
119,2023,10,Supply,Warehousing,2750.2,v1
120,2023,10,Supply,Cold Chain,1957.07,v1
121,2023,11,HR,Salaries,4983.92,v1
122,2023,11,HR,Training,4361.73,v1
123,2023,11,HR,Recruitment,3017.06,v1
124,2023,11,Medical,Medications,1025.72,v1
125,2023,11,Medical,Medical Equipment,4468.81,v1
126,2023,11,Medical,Consultations,1928.21,v1
127,2023,11,Logistics,Fuel,4141.92,v1
128,2023,11,Logistics,Transport,2675.96,v1
129,2023,11,Logistics,Vehicle Maintenance,1581.42,v1
130,2023,11,Supply,Supplies,2707.17,v1
131,2023,11,Supply,Warehousing,1891.06,v1
132,2023,11,Supply,Cold Chain,1286.77,v1
133,2023,12,HR,Salaries,2377.05,v1
134,2023,12,HR,Training,2397.22,v1
135,2023,12,HR,Recruitment,3387.53,v1
136,2023,12,Medical,Medications,4036.87,v1
137,2023,12,Medical,Medical Equipment,3737.99,v1
138,2023,12,Medical,Consultations,1829.52,v1
139,2023,12,Logistics,Fuel,3049.82,v1
140,2023,12,Logistics,Transport,4772.97,v1
141,2023,12,Logistics,Vehicle Maintenance,4825.49,v1
142,2023,12,Supply,Supplies,2812.82,v1
143,2023,12,Supply,Warehousing,1776.9,v1
144,2023,12,Supply,Cold Chain,3907.64,v1
145,2024,01,HR,Salaries,1546.26,v1
146,2024,01,HR,Training,2193.78,v1
147,2024,01,HR,Recruitment,4122.17,v1
148,2024,01,Medical,Medications,3883.34,v1
149,2024,01,Medical,Medical Equipment,1344.35,v1
