id,year,month,department,category,budget_eur,version
1,2023,01,HR,Salaries,1447.57,v1
2,2023,01,HR,Training,3876.89,v1
3,2023,01,HR,Recruitment,3599.19,v1
4,2023,01,Medical,Medications,2722.46,v1
5,2023,01,Medical,Medical Equipment,2535.48,v1
6,2023,01,Medical,Consultations,4150.15,v1
7,2023,01,Logistics,Fuel,2477.03,v1
8,2023,01,Logistics,Transport,2045.16,v1
9,2023,01,Logistics,Vehicle Maintenance,1798.13,v1
10,2023,01,Supply,Supplies,4356.26,v1
11,2023,01,Supply,Warehousing,1008.24,v1
12,2023,01,Supply,Cold Chain,2816.77,v1
13,2023,02,HR,Salaries,4900.22,v1
14,2023,02,HR,Training,4348.36,v1
15,2023,02,HR,Recruitment,1983.9,v1
16,2023,02,Medical,Medications,2768.39,v1
17,2023,02,Medical,Medical Equipment,2706.46,v1
18,2023,02,Medical,Consultations,3269.91,v1
19,2023,02,Logistics,Fuel,3213.01,v1
20,2023,02,Logistics,Transport,4376.07,v1
21,2023,02,Logistics,Vehicle Maintenance,4068.53,v1
22,2023,02,Supply,Supplies,4427.82,v1
23,2023,02,Supply,Warehousing,2456.86,v1
24,2023,02,Supply,Cold Chain,4602.69,v1
25,2023,03,HR,Salaries,2262.77,v1
26,2023,03,HR,Training,1436.72,v1
27,2023,03,HR,Recruitment,2259.73,v1
28,2023,03,Medical,Medications,4349.16,v1
29,2023,03,Medical,Medical Equipment,3767.1,v1
30,2023,03,Medical,Consultations,4689.61,v1
31,2023,03,Logistics,Fuel,3687.67,v1
32,2023,03,Logistics,Transport,2123.63,v1
33,2023,03,Logistics,Vehicle Maintenance,1776.35,v1
34,2023,03,Supply,Supplies,4743.96,v1
35,2023,03,Supply,Warehousing,3060.41,v1
36,2023,03,Supply,Cold Chain,1154.08,v1
37,2023,04,HR,Salaries,3329.59,v1
38,2023,04,HR,Training,3417.64,v1
39,2023,04,HR,Recruitment,2681.76,v1
40,2023,04,Medical,Medications,3123.96,v1
41,2023,04,Medical,Medical Equipment,3389.91,v1
42,2023,04,Medical,Consultations,4091.08,v1
43,2023,04,Logistics,Fuel,4659.93,v1
44,2023,04,Logistics,Transport,1486.56,v1
45,2023,04,Logistics,Vehicle Maintenance,3592.37,v1
