id,year,month,department,category,budget_eur,version
1,2023,01,HR,Salaries,2507.85,v1
2,2023,01,HR,Training,4373.79,v1
3,2023,01,HR,Recruitment,4486.83,v1
4,2023,01,Medical,Medications,1169.57,v1
5,2023,01,Medical,Medical Equipment,2022.73,v1
6,2023,01,Medical,Consultations,2696.32,v1
7,2023,01,Logistics,Fuel,1497.57,v1
8,2023,01,Logistics,Transport,4328.96,v1
9,2023,01,Logistics,Vehicle Maintenance,4177.84,v1
10,2023,01,Supply,Supplies,4299.25,v1
11,2023,01,Supply,Warehousing,2434.71,v1
12,2023,01,Supply,Cold Chain,1415.94,v1
13,2023,02,HR,Salaries,3544.12,v1
14,2023,02,HR,Training,3331.1,v1
15,2023,02,HR,Recruitment,1757.59,v1
16,2023,02,Medical,Medications,2842.97,v1
17,2023,02,Medical,Medical Equipment,3252.31,v1
18,2023,02,Medical,Consultations,1508.32,v1
19,2023,02,Logistics,Fuel,1162.11,v1
20,2023,02,Logistics,Transport,4268.71,v1
21,2023,02,Logistics,Vehicle Maintenance,2696.87,v1
22,2023,02,Supply,Supplies,2742.25,v1
23,2023,02,Supply,Warehousing,3018.93,v1
24,2023,02,Supply,Cold Chain,1230.44,v1
25,2023,03,HR,Salaries,2131.4,v1
26,2023,03,HR,Training,2633.14,v1
27,2023,03,HR,Recruitment,3515.3,v1
28,2023,03,Medical,Medications,2912.0,v1
29,2023,03,Medical,Medical Equipment,3472.25,v1
30,2023,03,Medical,Consultations,1256.75,v1
31,2023,03,Logistics,Fuel,1370.49,v1
32,2023,03,Logistics,Transport,4528.78,v1
33,2023,03,Logistics,Vehicle Maintenance,1877.91,v1
34,2023,03,Supply,Supplies,4802.15,v1
35,2023,03,Supply,Warehousing,1668.84,v1
36,2023,03,Supply,Cold Chain,3474.99,v1
37,2023,04,HR,Salaries,2807.77,v1
38,2023,04,HR,Training,2978.68,v1
39,2023,04,HR,Recruitment,3725.34,v1
40,2023,04,Medical,Medications,2419.67,v1
41,2023,04,Medical,Medical Equipment,1442.9,v1
42,2023,04,Medical,Consultations,2669.05,v1
43,2023,04,Logistics,Fuel,3832.78,v1
44,2023,04,Logistics,Transport,3440.55,v1
45,2023,04,Logistics,Vehicle Maintenance,1064.22,v1
46,2023,04,Supply,Supplies,2035.43,v1
47,2023,04,Supply,Warehousing,4245.52,v1
48,2023,04,Supply,Cold Chain,1129.4,v1
49,2023,05,HR,Salaries,1654.27,v1
50,2023,05,HR,Training,2083.95,v1
51,2023,05,HR,Recruitment,3450.17,v1
52,2023,05,Medical,Medications,2635.35,v1
53,2023,05,Medical,Medical Equipment,3803.91,v1
54,2023,05,Medical,Consultations,2471.57,v1
55,2023,05,Logistics,Fuel,1373.58,v1
56,2023,05,Logistics,Transport,3779.9,v1
57,2023,05,Logistics,Vehicle Maintenance,3207.45,v1
58,2023,05,Supply,Supplies,4569.42,v1
59,2023,05,Supply,Warehousing,1299.65,v1
60,2023,05,Supply,Cold Chain,2305.84,v1
61,2023,06,HR,Salaries,4195.41,v1
62,2023,06,HR,Training,3872.09,v1
63,2023,06,HR,Recruitment,2170.6,v1
64,2023,06,Medical,Medications,2157.69,v1
65,2023,06,Medical,Medical Equipment,2136.01,v1
66,2023,06,Medical,Consultations,4429.92,v1
67,2023,06,Logistics,Fuel,2746.43,v1
68,2023,06,Logistics,Transport,1008.05,v1
69,2023,06,Logistics,Vehicle Maintenance,3974.34,v1
70,2023,06,Supply,Supplies,2367.11,v1
71,2023,06,Supply,Warehousing,1227.87,v1
72,2023,06,Supply,Cold Chain,2438.89,v1
73,2023,07,HR,Salaries,2194.46,v1
74,2023,07,HR,Training,4652.86,v1
75,2023,07,HR,Recruitment,2440.24,v1
76,2023,07,Medical,Medications,1208.47,v1
77,2023,07,Medical,Medical Equipment,1521.84,v1
78,2023,07,Medical,Consultations,3084.13,v1
79,2023,07,Logistics,Fuel,4512.79,v1
80,2023,07,Logistics,Transport,3838.08,v1
81,2023,07,Logistics,Vehicle Maintenance,2255.36,v1
82,2023,07,Supply,Supplies,4904.54,v1
83,2023,07,Supply,Warehousing,1183.33,v1
84,2023,07,Supply,Cold Chain,4937.29,v1
85,2023,08,HR,Salaries,4461.82,v1
86,2023,08,HR,Training,1129.0,v1
87,2023,08,HR,Recruitment,4037.54,v1
88,2023,08,Medical,Medications,1231.06,v1
89,2023,08,Medical,Medical Equipment,1295.94,v1
90,2023,08,Medical,Consultations,4788.81,v1
91,2023,08,Logistics,Fuel,1713.65,v1
92,2023,08,Logistics,Transport,3494.34,v1
93,2023,08,Logistics,Vehicle Maintenance,4657.99,v1
94,2023,08,Supply,Supplies,2545.51,v1
95,2023,08,Supply,Warehousing,1462.52,v1
96,2023,08,Supply,Cold Chain,2229.23,v1
97,2023,09,HR,Salaries,3159.94,v1
98,2023,09,HR,Training,1702.46,v1
99,2023,09,HR,Recruitment,1394.38,v1
100,2023,09,Medical,Medications,3453.63,v1
101,2023,09,Medical,Medical Equipment,1883.79,v1
102,2023,09,Medical,Consultations,4151.0,v1
103,2023,09,Logistics,Fuel,1778.38,v1
104,2023,09,Logistics,Transport,2710.02,v1
105,2023,09,Logistics,Vehicle Maintenance,1261.22,v1
106,2023,09,Supply,Supplies,2850.51,v1
107,2023,09,Supply,Warehousing,1952.95,v1
108,2023,09,Supply,Cold Chain,1707.42,v1
109,2023,10,HR,Salaries,1155.85,v1
110,2023,10,HR,Training,3800.75,v1
111,2023,10,HR,Recruitment,2360.45,v1
112,2023,10,Medical,Medications,4301.89,v1
113,2023,10,Medical,Medical Equipment,2782.96,v1
114,2023,10,Medical,Consultations,4755.65,v1
115,2023,10,Logistics,Fuel,2903.09,v1
116,2023,10,Logistics,Transport,1087.61,v1
117,2023,10,Logistics,Vehicle Maintenance,3176.57,v1
118,2023,10,Supply,Supplies,4174.36,v1
119,2023,10,Supply,Warehousing,3620.39,v1
120,2023,10,Supply,Cold Chain,2436.44,v1
121,2023,11,HR,Salaries,2028.12,v1
122,2023,11,HR,Training,1125.26,v1
123,2023,11,HR,Recruitment,2972.59,v1
124,2023,11,Medical,Medications,3242.95,v1
125,2023,11,Medical,Medical Equipment,4551.22,v1
126,2023,11,Medical,Consultations,1269.41,v1
127,2023,11,Logistics,Fuel,1213.81,v1
128,2023,11,Logistics,Transport,1409.43,v1
129,2023,11,Logistics,Vehicle Maintenance,3372.81,v1
130,2023,11,Supply,Supplies,3565.24,v1
131,2023,11,Supply,Warehousing,4727.15,v1
132,2023,11,Supply,Cold Chain,4914.43,v1
133,2023,12,HR,Salaries,2944.39,v1
134,2023,12,HR,Training,1528.07,v1
135,2023,12,HR,Recruitment,4996.49,v1
136,2023,12,Medical,Medications,4413.79,v1
137,2023,12,Medical,Medical Equipment,2500.75,v1
138,2023,12,Medical,Consultations,4880.74,v1
139,2023,12,Logistics,Fuel,4040.7,v1
140,2023,12,Logistics,Transport,4032.91,v1
141,2023,12,Logistics,Vehicle Maintenance,4966.66,v1
142,2023,12,Supply,Supplies,2046.1,v1
143,2023,12,Supply,Warehousing,2760.98,v1
144,2023,12,Supply,Cold Chain,4479.45,v1
145,2024,01,HR,Salaries,4517.22,v1
146,2024,01,HR,Training,1241.5,v1
147,2024,01,HR,Recruitment,4469.83,v1
148,2024,01,Medical,Medications,1675.68,v1
149,2024,01,Medical,Medical Equipment,4353.85,v1
150,2024,01,Medical,Consultations,4089.06,v1
151,2024,01,Logistics,Fuel,1136.85,v1
152,2024,01,Logistics,Transport,2360.82,v1
153,2024,01,Logistics,Vehicle Maintenance,2096.14,v1
154,2024,01,Supply,Supplies,3531.72,v1
155,2024,01,Supply,Warehousing,2834.87,v1
156,2024,01,Supply,Cold Chain,3902.73,v1
157,2024,02,HR,Salaries,4949.51,v1
158,2024,02,HR,Training,1099.88,v1
159,2024,02,HR,Recruitment,3442.07,v1
160,2024,02,Medical,Medications,1915.34,v1
161,2024,02,Medical,Medical Equipment,3862.32,v1
162,2024,02,Medical,Consultations,2419.15,v1
163,2024,02,Logistics,Fuel,4914.25,v1
164,2024,02,Logistics,Transport,3571.23,v1
165,2024,02,Logistics,Vehicle Maintenance,4368.96,v1
166,2024,02,Supply,Supplies,3844.67,v1
167,2024,02,Supply,Warehousing,4462.44,v1
168,2024,02,Supply,Cold Chain,3309.93,v1
169,2024,03,HR,Salaries,4738.06,v1
170,2024,03,HR,Training,4570.32,v1
171,2024,03,HR,Recruitment,3279.5,v1
172,2024,03,Medical,Medications,4694.73,v1
173,2024,03,Medical,Medical Equipment,3169.33,v1
174,2024,03,Medical,Consultations,2873.71,v1
175,2024,03,Logistics,Fuel,1908.4,v1
176,2024,03,Logistics,Transport,1887.07,v1
177,2024,03,Logistics,Vehicle Maintenance,2626.93,v1
178,2024,03,Supply,Supplies,2884.82,v1
179,2024,03,Supply,Warehousing,3372.59,v1
180,2024,03,Supply,Cold Chain,2699.44,v1
181,2024,04,HR,Salaries,2313.75,v1
182,2024,04,HR,Training,2113.81,v1
183,2024,04,HR,Recruitment,1101.21,v1
184,2024,04,Medical,Medications,4234.89,v1
185,2024,04,Medical,Medical Equipment,4354.6,v1
186,2024,04,Medical,Consultations,3466.16,v1
187,2024,04,Logistics,Fuel,4525.7,v1
188,2024,04,Logistics,Transport,3434.18,v1
189,2024,04,Logistics,Vehicle Maintenance,3793.61,v1
190,2024,04,Supply,Supplies,1433.67,v1
191,2024,04,Supply,Warehousing,4018.32,v1
192,2024,04,Supply,Cold Chain,2411.37,v1
193,2024,05,HR,Salaries,4755.25,v1
194,2024,05,HR,Training,4339.39,v1
195,2024,05,HR,Recruitment,3617.62,v1
196,2024,05,Medical,Medications,1732.83,v1
197,2024,05,Medical,Medical Equipment,1785.73,v1
198,2024,05,Medical,Consultations,4875.96,v1
199,2024,05,Logistics,Fuel,2718.57,v1
200,2024,05,Logistics,Transport,1834.76,v1
201,2024,05,Logistics,Vehicle Maintenance,3867.51,v1
202,2024,05,Supply,Supplies,1455.04,v1
203,2024,05,Supply,Warehousing,4306.74,v1
204,2024,05,Supply,Cold Chain,3526.44,v1
205,2024,06,HR,Salaries,4638.26,v1
206,2024,06,HR,Training,2135.19,v1
207,2024,06,HR,Recruitment,3564.73,v1
208,2024,06,Medical,Medications,1992.54,v1
209,2024,06,Medical,Medical Equipment,1970.76,v1
210,2024,06,Medical,Consultations,3477.72,v1
211,2024,06,Logistics,Fuel,3835.0,v1
212,2024,06,Logistics,Transport,1229.7,v1
213,2024,06,Logistics,Vehicle Maintenance,4415.61,v1
214,2024,06,Supply,Supplies,2552.9,v1
215,2024,06,Supply,Warehousing,4731.21,v1
216,2024,06,Supply,Cold Chain,1763.97,v1
217,2024,07,HR,Salaries,2322.18,v1
218,2024,07,HR,Training,4944.35,v1
219,2024,07,HR,Recruitment,2109.72,v1
220,2024,07,Medical,Medications,3922.27,v1
221,2024,07,Medical,Medical Equipment,3254.83,v1
222,2024,07,Medical,Consultations,4083.31,v1
223,2024,07,Logistics,Fuel,2279.93,v1
224,2024,07,Logistics,Transport,2503.59,v1
225,2024,07,Logistics,Vehicle Maintenance,4109.19,v1
226,2024,07,Supply,Supplies,4964.05,v1
227,2024,07,Supply,Warehousing,3164.57,v1
228,2024,07,Supply,Cold Chain,3207.22,v1
229,2024,08,HR,Salaries,2295.71,v1
230,2024,08,HR,Training,1774.18,v1
231,2024,08,HR,Recruitment,4632.81,v1
232,2024,08,Medical,Medications,1632.27,v1
233,2024,08,Medical,Medical Equipment,2464.51,v1
234,2024,08,Medical,Consultations,1126.09,v1
235,2024,08,Logistics,Fuel,4365.0,v1
236,2024,08,Logistics,Transport,1736.06,v1
237,2024,08,Logistics,Vehicle Maintenance,1161.6,v1
238,2024,08,Supply,Supplies,4556.96,v1
239,2024,08,Supply,Warehousing,3098.67,v1
240,2024,08,Supply,Cold Chain,2249.66,v1
241,2024,09,HR,Salaries,4530.44,v1
242,2024,09,HR,Training,1174.39,v1
243,2024,09,HR,Recruitment,4304.91,v1
244,2024,09,Medical,Medications,3746.06,v1
245,2024,09,Medical,Medical Equipment,4842.99,v1
246,2024,09,Medical,Consultations,3249.96,v1
247,2024,09,Logistics,Fuel,2213.69,v1
248,2024,09,Logistics,Transport,1289.5,v1
249,2024,09,Logistics,Vehicle Maintenance,1963.4,v1
250,2024,09,Supply,Supplies,1546.84,v1
