id,year,month,department,category,budget_eur,version
1,2023,01,HR,Salaries,1331.85,v1
2,2023,01,HR,Training,4093.98,v1
3,2023,01,HR,Recruitment,3510.71,v1
4,2023,01,Medical,Medications,3764.67,v1
5,2023,01,Medical,Medical Equipment,2855.33,v1
6,2023,01,Medical,Consultations,2627.19,v1
7,2023,01,Logistics,Fuel,2293.7,v1
8,2023,01,Logistics,Transport,1016.44,v1
9,2023,01,Logistics,Vehicle Maintenance,3091.56,v1
10,2023,01,Supply,Supplies,4392.02,v1
11,2023,01,Supply,Warehousing,2489.81,v1
12,2023,01,Supply,Cold Chain,4459.41,v1
13,2023,02,HR,Salaries,2548.36,v1
14,2023,02,HR,Training,3711.01,v1
15,2023,02,HR,Recruitment,1988.14,v1
16,2023,02,Medical,Medications,4512.16,v1
17,2023,02,Medical,Medical Equipment,1442.61,v1
18,2023,02,Medical,Consultations,2405.98,v1
19,2023,02,Logistics,Fuel,3933.86,v1
20,2023,02,Logistics,Transport,3428.34,v1
21,2023,02,Logistics,Vehicle Maintenance,3819.61,v1
22,2023,02,Supply,Supplies,4126.15,v1
23,2023,02,Supply,Warehousing,3598.78,v1
24,2023,02,Supply,Cold Chain,2654.78,v1
25,2023,03,HR,Salaries,4136.9,v1
26,2023,03,HR,Training,1693.8,v1
27,2023,03,HR,Recruitment,2696.31,v1
28,2023,03,Medical,Medications,1828.16,v1
29,2023,03,Medical,Medical Equipment,4641.88,v1
30,2023,03,Medical,Consultations,1864.06,v1
31,2023,03,Logistics,Fuel,2844.89,v1
32,2023,03,Logistics,Transport,1487.32,v1
33,2023,03,Logistics,Vehicle Maintenance,2438.3,v1
34,2023,03,Supply,Supplies,2664.13,v1
35,2023,03,Supply,Warehousing,4294.27,v1
36,2023,03,Supply,Cold Chain,1266.1,v1
37,2023,04,HR,Salaries,1567.49,v1
38,2023,04,HR,Training,1143.03,v1
39,2023,04,HR,Recruitment,2339.83,v1
40,2023,04,Medical,Medications,2352.79,v1
41,2023,04,Medical,Medical Equipment,1158.9,v1
42,2023,04,Medical,Consultations,1788.03,v1
43,2023,04,Logistics,Fuel,4681.86,v1
44,2023,04,Logistics,Transport,2508.48,v1
45,2023,04,Logistics,Vehicle Maintenance,1367.32,v1
46,2023,04,Supply,Supplies,4262.05,v1
47,2023,04,Supply,Warehousing,4630.62,v1
48,2023,04,Supply,Cold Chain,1658.59,v1
49,2023,05,HR,Salaries,3030.79,v1
50,2023,05,HR,Training,3876.95,v1
51,2023,05,HR,Recruitment,2133.29,v1
52,2023,05,Medical,Medications,1006.62,v1
53,2023,05,Medical,Medical Equipment,3191.37,v1
54,2023,05,Medical,Consultations,2391.62,v1
55,2023,05,Logistics,Fuel,1195.38,v1
56,2023,05,Logistics,Transport,3011.92,v1
57,2023,05,Logistics,Vehicle Maintenance,1452.94,v1
58,2023,05,Supply,Supplies,2736.3,v1
59,2023,05,Supply,Warehousing,2813.16,v1
60,2023,05,Supply,Cold Chain,3561.81,v1
61,2023,06,HR,Salaries,3566.06,v1
62,2023,06,HR,Training,1132.73,v1
63,2023,06,HR,Recruitment,4496.54,v1
64,2023,06,Medical,Medications,1693.97,v1
65,2023,06,Medical,Medical Equipment,2281.52,v1
66,2023,06,Medical,Consultations,1671.92,v1
67,2023,06,Logistics,Fuel,2771.41,v1
68,2023,06,Logistics,Transport,1613.36,v1
69,2023,06,Logistics,Vehicle Maintenance,4107.48,v1
70,2023,06,Supply,Supplies,2392.37,v1
71,2023,06,Supply,Warehousing,1999.64,v1
72,2023,06,Supply,Cold Chain,3684.79,v1
73,2023,07,HR,Salaries,4820.21,v1
74,2023,07,HR,Training,2484.52,v1
75,2023,07,HR,Recruitment,2934.31,v1
76,2023,07,Medical,Medications,2330.83,v1
77,2023,07,Medical,Medical Equipment,2320.03,v1
78,2023,07,Medical,Consultations,2611.06,v1
79,2023,07,Logistics,Fuel,4386.93,v1
80,2023,07,Logistics,Transport,4611.82,v1
81,2023,07,Logistics,Vehicle Maintenance,4560.62,v1
82,2023,07,Supply,Supplies,2102.59,v1
83,2023,07,Supply,Warehousing,3644.67,v1
84,2023,07,Supply,Cold Chain,2054.8,v1
85,2023,08,HR,Salaries,2154.12,v1
86,2023,08,HR,Training,3850.29,v1
87,2023,08,HR,Recruitment,2927.77,v1
88,2023,08,Medical,Medications,1303.13,v1
89,2023,08,Medical,Medical Equipment,1419.97,v1
90,2023,08,Medical,Consultations,4638.28,v1
91,2023,08,Logistics,Fuel,4627.43,v1
92,2023,08,Logistics,Transport,2938.8,v1
93,2023,08,Logistics,Vehicle Maintenance,1151.19,v1
94,2023,08,Supply,Supplies,3413.63,v1
95,2023,08,Supply,Warehousing,1609.64,v1
96,2023,08,Supply,Cold Chain,3103.04,v1
97,2023,09,HR,Salaries,3682.71,v1
98,2023,09,HR,Training,1047.55,v1
