id,year,month,department,category,budget_eur,version
1,2023,01,HR,Salaries,4329.9,v1
2,2023,01,HR,Training,3936.97,v1
3,2023,01,HR,Recruitment,1153.74,v1
4,2023,01,Medical,Medications,4980.65,v1
5,2023,01,Medical,Medical Equipment,3560.72,v1
6,2023,01,Medical,Consultations,2537.57,v1
7,2023,01,Logistics,Fuel,3055.2,v1
8,2023,01,Logistics,Transport,3918.26,v1
9,2023,01,Logistics,Vehicle Maintenance,2967.11,v1
10,2023,01,Supply,Supplies,3242.93,v1
11,2023,01,Supply,Warehousing,2827.43,v1
12,2023,01,Supply,Cold Chain,1384.85,v1
13,2023,02,HR,Salaries,3076.86,v1
14,2023,02,HR,Training,4756.78,v1
15,2023,02,HR,Recruitment,4852.74,v1
16,2023,02,Medical,Medications,3481.44,v1
17,2023,02,Medical,Medical Equipment,3090.06,v1
18,2023,02,Medical,Consultations,4923.79,v1
19,2023,02,Logistics,Fuel,2900.97,v1
20,2023,02,Logistics,Transport,2184.33,v1
21,2023,02,Logistics,Vehicle Maintenance,2249.18,v1
22,2023,02,Supply,Supplies,1530.82,v1
23,2023,02,Supply,Warehousing,2214.55,v1
24,2023,02,Supply,Cold Chain,4980.97,v1
25,2023,03,HR,Salaries,2378.23,v1
26,2023,03,HR,Training,3654.11,v1
27,2023,03,HR,Recruitment,2127.24,v1
28,2023,03,Medical,Medications,4074.21,v1
29,2023,03,Medical,Medical Equipment,1746.95,v1
30,2023,03,Medical,Consultations,2096.16,v1
31,2023,03,Logistics,Fuel,1360.06,v1
32,2023,03,Logistics,Transport,4154.9,v1
33,2023,03,Logistics,Vehicle Maintenance,1358.64,v1
34,2023,03,Supply,Supplies,2710.09,v1
35,2023,03,Supply,Warehousing,1601.47,v1
36,2023,03,Supply,Cold Chain,4656.57,v1
37,2023,04,HR,Salaries,4895.01,v1
38,2023,04,HR,Training,3104.78,v1
39,2023,04,HR,Recruitment,3629.94,v1
40,2023,04,Medical,Medications,2746.94,v1
41,2023,04,Medical,Medical Equipment,2786.66,v1
42,2023,04,Medical,Consultations,3175.8,v1
43,2023,04,Logistics,Fuel,2797.5,v1
44,2023,04,Logistics,Transport,4636.57,v1
45,2023,04,Logistics,Vehicle Maintenance,2918.56,v1
46,2023,04,Supply,Supplies,2544.87,v1
47,2023,04,Supply,Warehousing,3955.8,v1
48,2023,04,Supply,Cold Chain,2783.38,v1
49,2023,05,HR,Salaries,1876.62,v1
50,2023,05,HR,Training,2547.47,v1
51,2023,05,HR,Recruitment,3657.69,v1
52,2023,05,Medical,Medications,3557.13,v1
53,2023,05,Medical,Medical Equipment,4401.65,v1
54,2023,05,Medical,Consultations,3497.9,v1
55,2023,05,Logistics,Fuel,3505.98,v1
56,2023,05,Logistics,Transport,1900.75,v1
57,2023,05,Logistics,Vehicle Maintenance,3941.95,v1
58,2023,05,Supply,Supplies,2005.75,v1
59,2023,05,Supply,Warehousing,4594.64,v1
60,2023,05,Supply,Cold Chain,1748.05,v1
61,2023,06,HR,Salaries,4613.56,v1
62,2023,06,HR,Training,2019.1,v1
63,2023,06,HR,Recruitment,4030.58,v1
64,2023,06,Medical,Medications,2951.28,v1
65,2023,06,Medical,Medical Equipment,2282.87,v1
66,2023,06,Medical,Consultations,3015.81,v1
67,2023,06,Logistics,Fuel,1750.39,v1
68,2023,06,Logistics,Transport,4285.03,v1
69,2023,06,Logistics,Vehicle Maintenance,3514.04,v1
70,2023,06,Supply,Supplies,2022.98,v1
71,2023,06,Supply,Warehousing,3267.34,v1
72,2023,06,Supply,Cold Chain,3326.65,v1
73,2023,07,HR,Salaries,3702.35,v1
74,2023,07,HR,Training,4689.69,v1
75,2023,07,HR,Recruitment,3576.87,v1
76,2023,07,Medical,Medications,2873.08,v1
77,2023,07,Medical,Medical Equipment,2705.8,v1
78,2023,07,Medical,Consultations,1890.28,v1
79,2023,07,Logistics,Fuel,3714.91,v1
80,2023,07,Logistics,Transport,1047.92,v1
81,2023,07,Logistics,Vehicle Maintenance,4148.49,v1
82,2023,07,Supply,Supplies,3588.11,v1
83,2023,07,Supply,Warehousing,3775.05,v1
84,2023,07,Supply,Cold Chain,3042.68,v1
85,2023,08,HR,Salaries,3975.7,v1
86,2023,08,HR,Training,1915.28,v1
87,2023,08,HR,Recruitment,2445.93,v1
88,2023,08,Medical,Medications,4975.89,v1
89,2023,08,Medical,Medical Equipment,1276.85,v1
90,2023,08,Medical,Consultations,4420.96,v1
91,2023,08,Logistics,Fuel,3249.73,v1
92,2023,08,Logistics,Transport,4625.5,v1
93,2023,08,Logistics,Vehicle Maintenance,2206.46,v1
94,2023,08,Supply,Supplies,4563.05,v1
95,2023,08,Supply,Warehousing,3190.97,v1
96,2023,08,Supply,Cold Chain,2369.36,v1
97,2023,09,HR,Salaries,1843.15,v1
98,2023,09,HR,Training,3978.77,v1
99,2023,09,HR,Recruitment,2816.04,v1
100,2023,09,Medical,Medications,1989.74,v1
101,2023,09,Medical,Medical Equipment,3436.24,v1
102,2023,09,Medical,Consultations,4111.37,v1
103,2023,09,Logistics,Fuel,3688.33,v1
104,2023,09,Logistics,Transport,3678.02,v1
105,2023,09,Logistics,Vehicle Maintenance,4381.31,v1
106,2023,09,Supply,Supplies,2169.92,v1
107,2023,09,Supply,Warehousing,4442.9,v1
108,2023,09,Supply,Cold Chain,2981.85,v1
109,2023,10,HR,Salaries,3912.36,v1
110,2023,10,HR,Training,3536.94,v1
111,2023,10,HR,Recruitment,2632.01,v1
112,2023,10,Medical,Medications,2802.6,v1
113,2023,10,Medical,Medical Equipment,4405.92,v1
114,2023,10,Medical,Consultations,1125.97,v1
115,2023,10,Logistics,Fuel,2162.94,v1
116,2023,10,Logistics,Transport,3592.19,v1
117,2023,10,Logistics,Vehicle Maintenance,1865.02,v1
118,2023,10,Supply,Supplies,2410.08,v1
119,2023,10,Supply,Warehousing,3218.89,v1
120,2023,10,Supply,Cold Chain,2003.92,v1
121,2023,11,HR,Salaries,2979.26,v1
122,2023,11,HR,Training,4731.53,v1
123,2023,11,HR,Recruitment,1120.54,v1
124,2023,11,Medical,Medications,1552.61,v1
125,2023,11,Medical,Medical Equipment,4724.63,v1
126,2023,11,Medical,Consultations,1941.45,v1
127,2023,11,Logistics,Fuel,4118.78,v1
128,2023,11,Logistics,Transport,2010.45,v1
129,2023,11,Logistics,Vehicle Maintenance,4309.37,v1
130,2023,11,Supply,Supplies,3546.75,v1
131,2023,11,Supply,Warehousing,3441.47,v1
132,2023,11,Supply,Cold Chain,3707.86,v1
133,2023,12,HR,Salaries,1736.85,v1
134,2023,12,HR,Training,3516.06,v1
135,2023,12,HR,Recruitment,4653.03,v1
136,2023,12,Medical,Medications,2054.87,v1
137,2023,12,Medical,Medical Equipment,3655.35,v1
138,2023,12,Medical,Consultations,1497.01,v1
139,2023,12,Logistics,Fuel,2506.33,v1
140,2023,12,Logistics,Transport,4704.12,v1
141,2023,12,Logistics,Vehicle Maintenance,3194.08,v1
142,2023,12,Supply,Supplies,3013.27,v1
143,2023,12,Supply,Warehousing,4237.8,v1
144,2023,12,Supply,Cold Chain,1259.96,v1
145,2024,01,HR,Salaries,2500.48,v1
146,2024,01,HR,Training,2065.51,v1
147,2024,01,HR,Recruitment,4497.28,v1
148,2024,01,Medical,Medications,1536.71,v1
149,2024,01,Medical,Medical Equipment,3518.91,v1
150,2024,01,Medical,Consultations,2825.65,v1
151,2024,01,Logistics,Fuel,3338.92,v1
152,2024,01,Logistics,Transport,1876.35,v1
153,2024,01,Logistics,Vehicle Maintenance,1201.8,v1
154,2024,01,Supply,Supplies,3437.07,v1
155,2024,01,Supply,Warehousing,3826.82,v1
156,2024,01,Supply,Cold Chain,3501.78,v1
157,2024,02,HR,Salaries,4230.66,v1
158,2024,02,HR,Training,4486.62,v1
159,2024,02,HR,Recruitment,4528.66,v1
160,2024,02,Medical,Medications,3122.79,v1
161,2024,02,Medical,Medical Equipment,4571.77,v1
162,2024,02,Medical,Consultations,4861.01,v1
163,2024,02,Logistics,Fuel,1030.82,v1
164,2024,02,Logistics,Transport,2667.65,v1
165,2024,02,Logistics,Vehicle Maintenance,3215.87,v1
166,2024,02,Supply,Supplies,2492.29,v1
167,2024,02,Supply,Warehousing,2485.65,v1
168,2024,02,Supply,Cold Chain,1415.25,v1
169,2024,03,HR,Salaries,2692.39,v1
170,2024,03,HR,Training,2045.28,v1
171,2024,03,HR,Recruitment,4744.74,v1
172,2024,03,Medical,Medications,2109.8,v1
173,2024,03,Medical,Medical Equipment,2492.37,v1
174,2024,03,Medical,Consultations,1587.6,v1
175,2024,03,Logistics,Fuel,4702.06,v1
176,2024,03,Logistics,Transport,2797.74,v1
177,2024,03,Logistics,Vehicle Maintenance,1152.18,v1
178,2024,03,Supply,Supplies,2171.02,v1
179,2024,03,Supply,Warehousing,2220.84,v1
180,2024,03,Supply,Cold Chain,4790.23,v1
181,2024,04,HR,Salaries,3754.68,v1
182,2024,04,HR,Training,3885.54,v1
183,2024,04,HR,Recruitment,4807.32,v1
184,2024,04,Medical,Medications,2067.35,v1
185,2024,04,Medical,Medical Equipment,2581.8,v1
186,2024,04,Medical,Consultations,4633.3,v1
187,2024,04,Logistics,Fuel,1722.98,v1
188,2024,04,Logistics,Transport,3065.07,v1
189,2024,04,Logistics,Vehicle Maintenance,4206.15,v1
190,2024,04,Supply,Supplies,1478.88,v1
191,2024,04,Supply,Warehousing,4388.4,v1
192,2024,04,Supply,Cold Chain,1774.31,v1
193,2024,05,HR,Salaries,1698.54,v1
194,2024,05,HR,Training,4192.15,v1
195,2024,05,HR,Recruitment,2838.52,v1
196,2024,05,Medical,Medications,3929.16,v1
197,2024,05,Medical,Medical Equipment,3962.48,v1
198,2024,05,Medical,Consultations,1823.63,v1
199,2024,05,Logistics,Fuel,4508.31,v1
200,2024,05,Logistics,Transport,4383.81,v1
201,2024,05,Logistics,Vehicle Maintenance,3468.64,v1
202,2024,05,Supply,Supplies,3988.83,v1
203,2024,05,Supply,Warehousing,3504.96,v1
204,2024,05,Supply,Cold Chain,1680.52,v1
205,2024,06,HR,Salaries,3259.06,v1
206,2024,06,HR,Training,4388.06,v1
207,2024,06,HR,Recruitment,1625.17,v1
208,2024,06,Medical,Medications,1830.91,v1
209,2024,06,Medical,Medical Equipment,1697.11,v1
210,2024,06,Medical,Consultations,4727.04,v1
211,2024,06,Logistics,Fuel,4842.94,v1
212,2024,06,Logistics,Transport,2567.13,v1
213,2024,06,Logistics,Vehicle Maintenance,2351.29,v1
214,2024,06,Supply,Supplies,1544.33,v1
215,2024,06,Supply,Warehousing,2869.62,v1
216,2024,06,Supply,Cold Chain,1720.98,v1
217,2024,07,HR,Salaries,2650.38,v1
218,2024,07,HR,Training,2242.37,v1
219,2024,07,HR,Recruitment,3227.81,v1
220,2024,07,Medical,Medications,2690.29,v1
221,2024,07,Medical,Medical Equipment,2798.55,v1
222,2024,07,Medical,Consultations,1680.7,v1
223,2024,07,Logistics,Fuel,1878.64,v1
224,2024,07,Logistics,Transport,3670.94,v1
225,2024,07,Logistics,Vehicle Maintenance,4439.96,v1
226,2024,07,Supply,Supplies,2908.1,v1
227,2024,07,Supply,Warehousing,1616.01,v1
228,2024,07,Supply,Cold Chain,3775.6,v1
229,2024,08,HR,Salaries,1660.92,v1
230,2024,08,HR,Training,1426.72,v1
231,2024,08,HR,Recruitment,3391.05,v1
232,2024,08,Medical,Medications,4129.03,v1
233,2024,08,Medical,Medical Equipment,2803.43,v1
234,2024,08,Medical,Consultations,4877.15,v1
235,2024,08,Logistics,Fuel,3765.5,v1
236,2024,08,Logistics,Transport,4066.52,v1
237,2024,08,Logistics,Vehicle Maintenance,3994.45,v1
238,2024,08,Supply,Supplies,2963.39,v1
239,2024,08,Supply,Warehousing,1783.75,v1
240,2024,08,Supply,Cold Chain,3920.95,v1
241,2024,09,HR,Salaries,3466.35,v1
242,2024,09,HR,Training,1981.38,v1
243,2024,09,HR,Recruitment,2922.21,v1
244,2024,09,Medical,Medications,2612.51,v1
245,2024,09,Medical,Medical Equipment,4778.12,v1
246,2024,09,Medical,Consultations,4211.54,v1
247,2024,09,Logistics,Fuel,4546.96,v1
248,2024,09,Logistics,Transport,2758.79,v1
249,2024,09,Logistics,Vehicle Maintenance,3218.14,v1
250,2024,09,Supply,Supplies,3059.23,v1
251,2024,09,Supply,Warehousing,1599.5,v1
252,2024,09,Supply,Cold Chain,2597.09,v1
253,2024,10,HR,Salaries,3652.92,v1
254,2024,10,HR,Training,1440.15,v1
255,2024,10,HR,Recruitment,1841.79,v1
256,2024,10,Medical,Medications,1911.53,v1
257,2024,10,Medical,Medical Equipment,3564.85,v1
258,2024,10,Medical,Consultations,3118.27,v1
259,2024,10,Logistics,Fuel,4889.04,v1
260,2024,10,Logistics,Transport,4149.26,v1
261,2024,10,Logistics,Vehicle Maintenance,4031.68,v1
262,2024,10,Supply,Supplies,1792.51,v1
263,2024,10,Supply,Warehousing,4051.85,v1
264,2024,10,Supply,Cold Chain,2084.59,v1
265,2024,11,HR,Salaries,4756.61,v1
266,2024,11,HR,Training,3792.79,v1
267,2024,11,HR,Recruitment,2311.79,v1
268,2024,11,Medical,Medications,2720.41,v1
269,2024,11,Medical,Medical Equipment,4878.95,v1
270,2024,11,Medical,Consultations,1758.83,v1
271,2024,11,Logistics,Fuel,4077.0,v1
272,2024,11,Logistics,Transport,1548.45,v1
273,2024,11,Logistics,Vehicle Maintenance,4765.43,v1
274,2024,11,Supply,Supplies,2185.73,v1
275,2024,11,Supply,Warehousing,3562.36,v1
276,2024,11,Supply,Cold Chain,4758.39,v1
277,2024,12,HR,Salaries,4689.65,v1
278,2024,12,HR,Training,1272.54,v1
279,2024,12,HR,Recruitment,4523.37,v1
280,2024,12,Medical,Medications,4502.33,v1
281,2024,12,Medical,Medical Equipment,2514.7,v1
282,2024,12,Medical,Consultations,4877.49,v1
283,2024,12,Logistics,Fuel,2364.74,v1
284,2024,12,Logistics,Transport,4999.54,v1
285,2024,12,Logistics,Vehicle Maintenance,4793.1,v1
286,2024,12,Supply,Supplies,3022.42,v1
287,2024,12,Supply,Warehousing,1017.68,v1
288,2024,12,Supply,Cold Chain,4409.13,v1
289,2025,01,HR,Salaries,1937.95,v1
290,2025,01,HR,Training,1739.33,v1
291,2025,01,HR,Recruitment,3957.54,v1
292,2025,01,Medical,Medications,3876.04,v1
293,2025,01,Medical,Medical Equipment,2422.41,v1
294,2025,01,Medical,Consultations,4684.77,v1
295,2025,01,Logistics,Fuel,1689.58,v1
296,2025,01,Logistics,Transport,4226.66,v1
297,2025,01,Logistics,Vehicle Maintenance,1450.3,v1
298,2025,01,Supply,Supplies,4915.75,v1
299,2025,01,Supply,Warehousing,3023.39,v1
300,2025,01,Supply,Cold Chain,4615.46,v1
301,2025,02,HR,Salaries,2841.43,v1
302,2025,02,HR,Training,3507.56,v1
303,2025,02,HR,Recruitment,1935.16,v1
304,2025,02,Medical,Medications,2793.53,v1
305,2025,02,Medical,Medical Equipment,4806.33,v1
306,2025,02,Medical,Consultations,1463.04,v1
307,2025,02,Logistics,Fuel,1486.27,v1
308,2025,02,Logistics,Transport,2423.06,v1
309,2025,02,Logistics,Vehicle Maintenance,2060.52,v1
310,2025,02,Supply,Supplies,3154.76,v1
311,2025,02,Supply,Warehousing,4921.77,v1
312,2025,02,Supply,Cold Chain,1876.49,v1
313,2025,03,HR,Salaries,2246.06,v1
314,2025,03,HR,Training,2798.84,v1
315,2025,03,HR,Recruitment,2105.17,v1
316,2025,03,Medical,Medications,2316.3,v1
317,2025,03,Medical,Medical Equipment,3613.17,v1
318,2025,03,Medical,Consultations,4001.3,v1
319,2025,03,Logistics,Fuel,1356.21,v1
320,2025,03,Logistics,Transport,3334.54,v1
321,2025,03,Logistics,Vehicle Maintenance,4938.78,v1
322,2025,03,Supply,Supplies,4772.58,v1
323,2025,03,Supply,Warehousing,4346.26,v1
324,2025,03,Supply,Cold Chain,4573.4,v1
325,2025,04,HR,Salaries,1453.88,v1
326,2025,04,HR,Training,3137.74,v1
327,2025,04,HR,Recruitment,1852.4,v1
328,2025,04,Medical,Medications,4226.76,v1
329,2025,04,Medical,Medical Equipment,2088.7,v1
330,2025,04,Medical,Consultations,3330.26,v1
331,2025,04,Logistics,Fuel,1297.0,v1
332,2025,04,Logistics,Transport,1543.38,v1
333,2025,04,Logistics,Vehicle Maintenance,3295.51,v1
334,2025,04,Supply,Supplies,4815.07,v1
335,2025,04,Supply,Warehousing,2012.14,v1
336,2025,04,Supply,Cold Chain,4053.92,v1
337,2025,05,HR,Salaries,1711.5,v1
338,2025,05,HR,Training,1858.8,v1
339,2025,05,HR,Recruitment,3353.89,v1
340,2025,05,Medical,Medications,3604.72,v1
341,2025,05,Medical,Medical Equipment,2718.49,v1
342,2025,05,Medical,Consultations,3021.97,v1
343,2025,05,Logistics,Fuel,3040.76,v1
344,2025,05,Logistics,Transport,3729.87,v1
345,2025,05,Logistics,Vehicle Maintenance,4593.55,v1
346,2025,05,Supply,Supplies,3252.81,v1
347,2025,05,Supply,Warehousing,4831.57,v1
348,2025,05,Supply,Cold Chain,1832.74,v1
349,2025,06,HR,Salaries,3053.56,v1
350,2025,06,HR,Training,2035.14,v1
351,2025,06,HR,Recruitment,1491.4,v1
352,2025,06,Medical,Medications,4674.79,v1
353,2025,06,Medical,Medical Equipment,3658.0,v1
354,2025,06,Medical,Consultations,4510.83,v1
355,2025,06,Logistics,Fuel,1775.76,v1
356,2025,06,Logistics,Transport,4703.63,v1
357,2025,06,Logistics,Vehicle Maintenance,4265.04,v1
358,2025,06,Supply,Supplies,2356.31,v1
359,2025,06,Supply,Warehousing,4008.45,v1
360,2025,06,Supply,Cold Chain,2679.26,v1
361,2025,07,HR,Salaries,4943.04,v1
362,2025,07,HR,Training,4615.31,v1
363,2025,07,HR,Recruitment,2682.36,v1
364,2025,07,Medical,Medications,3165.51,v1
365,2025,07,Medical,Medical Equipment,4668.56,v1
366,2025,07,Medical,Consultations,4920.95,v1
367,2025,07,Logistics,Fuel,4211.83,v1
368,2025,07,Logistics,Transport,3321.34,v1
369,2025,07,Logistics,Vehicle Maintenance,1144.97,v1
370,2025,07,Supply,Supplies,1148.05,v1
371,2025,07,Supply,Warehousing,4419.98,v1
372,2025,07,Supply,Cold Chain,4660.47,v1
373,2025,08,HR,Salaries,3589.22,v1
374,2025,08,HR,Training,1406.23,v1
375,2025,08,HR,Recruitment,1247.33,v1
376,2025,08,Medical,Medications,4570.95,v1
377,2025,08,Medical,Medical Equipment,4305.15,v1
378,2025,08,Medical,Consultations,2321.68,v1
379,2025,08,Logistics,Fuel,3427.51,v1
380,2025,08,Logistics,Transport,3705.58,v1
381,2025,08,Logistics,Vehicle Maintenance,4315.92,v1
382,2025,08,Supply,Supplies,4436.09,v1
383,2025,08,Supply,Warehousing,4645.45,v1
384,2025,08,Supply,Cold Chain,3933.24,v1
385,2025,09,HR,Salaries,3786.69,v1
386,2025,09,HR,Training,1915.13,v1
387,2025,09,HR,Recruitment,2419.75,v1
388,2025,09,Medical,Medications,3983.25,v1
389,2025,09,Medical,Medical Equipment,1477.85,v1
390,2025,09,Medical,Consultations,3914.43,v1
391,2025,09,Logistics,Fuel,3688.69,v1
392,2025,09,Logistics,Transport,1103.32,v1
393,2025,09,Logistics,Vehicle Maintenance,1021.24,v1
394,2025,09,Supply,Supplies,4602.52,v1
395,2025,09,Supply,Warehousing,3826.02,v1
396,2025,09,Supply,Cold Chain,4757.63,v1
397,2025,10,HR,Salaries,3358.13,v1
398,2025,10,HR,Training,3524.46,v1
399,2025,10,HR,Recruitment,2627.65,v1
400,2025,10,Medical,Medications,4412.13,v1
401,2025,10,Medical,Medical Equipment,2461.41,v1
402,2025,10,Medical,Consultations,4954.18,v1
403,2025,10,Logistics,Fuel,3976.61,v1
404,2025,10,Logistics,Transport,3218.7,v1
405,2025,10,Logistics,Vehicle Maintenance,4189.83,v1
406,2025,10,Supply,Supplies,3368.53,v1
407,2025,10,Supply,Warehousing,2174.38,v1
408,2025,10,Supply,Cold Chain,4489.34,v1
409,2025,11,HR,Salaries,3483.59,v1
410,2025,11,HR,Training,4937.09,v1
411,2025,11,HR,Recruitment,4203.0,v1
