date_id,department_id,country_id,category_id,project_id_numeric,budget_eur,amount_eur
20230131,1,1,1,1,2293.0,2278.71
20230131,1,1,2,1,4768.76,4053.43
20230131,1,1,3,1,1642.21,1450.1
20230131,2,1,4,1,1377.75,1275.95
20230131,2,1,5,1,2062.46,2182.81
20230131,2,1,6,1,4644.17,3908.04
20230131,3,1,7,1,2257.65,2105.54
20230131,3,1,8,1,2894.97,2359.94
20230131,3,1,9,1,2026.05,1754.21
20230131,4,1,10,1,1024.42,933.13
20230131,4,1,11,1,2683.43,2301.93
20230131,4,1,12,1,2050.49,1661.79
20230228,1,1,1,1,3163.32,2542.16
20230228,1,1,2,1,4703.0,4024.19
20230228,1,1,3,1,2661.61,2685.24
20230228,2,1,4,1,4502.85,4553.77
20230228,2,1,5,1,3096.96,2481.49
20230228,2,1,6,1,4940.52,5311.62
20230228,3,1,7,1,1043.97,996.35
20230228,3,1,8,1,2826.67,2491.7
20230228,3,1,9,1,4109.97,4415.35
20230228,4,1,10,1,4189.52,3367.33
20230228,4,1,11,1,1934.94,2113.8
20230228,4,1,12,1,3767.57,3467.93
20230331,1,1,1,1,2980.86,3146.89
20230331,1,1,2,1,2617.24,2222.17
20230331,1,1,3,1,2776.44,2847.87
20230331,2,1,4,1,4653.87,4706.41
20230331,2,1,5,1,2296.91,2311.32
20230331,2,1,6,1,3528.97,3124.27
20230331,3,1,7,1,4611.07,4912.14
20230331,3,1,8,1,1453.57,1343.89
20230331,3,1,9,1,3427.49,3290.08
20230331,4,1,10,1,3886.93,3404.59
20230331,4,1,11,1,4001.33,3844.38
20230331,4,1,12,1,1217.35,997.93
20230430,1,1,1,1,4500.61,3760.19
20230430,1,1,2,1,3674.18,2949.95
20230430,1,1,3,1,1896.25,1720.48
20230430,2,1,4,1,2348.66,2266.09
20230430,2,1,5,1,2482.45,2250.42
20230430,2,1,6,1,2789.0,2616.23
20230430,3,1,7,1,4909.3,5013.66
20230430,3,1,8,1,3722.52,3244.81
20230430,3,1,9,1,2227.92,2242.88
20230430,4,1,10,1,1448.62,1574.31
20230430,4,1,11,1,4763.14,5200.14
20230430,4,1,12,1,4718.94,4301.81
20230531,1,1,1,1,2152.06,1834.48
20230531,1,1,2,1,3406.63,3007.8
20230531,1,1,3,1,3413.69,3271.13
20230531,2,1,4,1,3001.79,2478.64
20230531,2,1,5,1,2839.61,2479.38
20230531,2,1,6,1,4147.27,4409.16
20230531,3,1,7,1,4697.71,4923.08
20230531,3,1,8,1,3423.53,3524.72
20230531,3,1,9,1,3663.22,3305.79
20230531,4,1,10,1,4099.46,4207.48
20230531,4,1,11,1,2400.4,1966.68
20230531,4,1,12,1,1407.7,1190.47
20230630,1,1,1,1,2714.83,2944.49
20230630,1,1,2,1,4094.69,3758.05
20230630,1,1,3,1,4284.38,4353.36
20230630,2,1,4,1,1317.19,1104.66
20230630,2,1,5,1,2524.84,2293.17
20230630,2,1,6,1,4107.7,4493.61
20230630,3,1,7,1,4582.53,5003.01
20230630,3,1,8,1,3654.31,3715.22
20230630,3,1,9,1,1078.48,934.68
20230630,4,1,10,1,4542.69,4529.41
20230630,4,1,11,1,2545.57,2448.58
20230630,4,1,12,1,3155.24,3386.63
20230731,1,1,1,1,3343.83,3615.52
20230731,1,1,2,1,2619.73,2523.26
20230731,1,1,3,1,3998.01,3967.86
20230731,2,1,4,1,4229.83,3455.81
20230731,2,1,5,1,2714.64,2503.4
20230731,2,1,6,1,4015.1,4326.76
20230731,3,1,7,1,2376.93,2518.06
20230731,3,1,8,1,2362.14,2001.67
20230731,3,1,9,1,3670.8,4009.93
20230731,4,1,10,1,1152.77,1022.64
20230731,4,1,11,1,1695.53,1437.26
20230731,4,1,12,1,3738.93,3415.72
20230831,1,1,1,1,2253.09,2375.01
20230831,1,1,2,1,2380.6,2099.84
20230831,1,1,3,1,4661.4,5108.98
20230831,2,1,4,1,4620.96,3920.38
20230831,2,1,5,1,4844.47,5262.44
20230831,2,1,6,1,4122.28,3830.28
20230831,3,1,7,1,2526.11,2432.73
20230831,3,1,8,1,4233.83,4134.18
20230831,3,1,9,1,2165.46,2087.59
