department,category,budget_eur,project_id,country,date,amount_local,original_currency,rate,amount_eur
HR,Salaries,2293.0,BE55,Belgium,2023-01-31,2278.71,EUR,1.0,2278.71
HR,Training,4768.76,BE55,Belgium,2023-01-31,4053.43,EUR,1.0,4053.43
HR,Recruitment,1642.21,BE55,Belgium,2023-01-31,1450.1,EUR,1.0,1450.1
Medical,Medications,1377.75,BE55,Belgium,2023-01-31,1275.95,EUR,1.0,1275.95
Medical,Medical Equipment,2062.46,BE55,Belgium,2023-01-31,2182.81,EUR,1.0,2182.81
Medical,Consultations,4644.17,BE55,Belgium,2023-01-31,3908.04,EUR,1.0,3908.04
Logistics,Fuel,2257.65,BE55,Belgium,2023-01-31,2105.54,EUR,1.0,2105.54
Logistics,Transport,2894.97,BE55,Belgium,2023-01-31,2359.94,EUR,1.0,2359.94
Logistics,Vehicle Maintenance,2026.05,BE55,Belgium,2023-01-31,1754.21,EUR,1.0,1754.21
Supply,Supplies,1024.42,BE55,Belgium,2023-01-31,933.13,EUR,1.0,933.13
Supply,Warehousing,2683.43,BE55,Belgium,2023-01-31,2301.93,EUR,1.0,2301.93
Supply,Cold Chain,2050.49,BE55,Belgium,2023-01-31,1661.79,EUR,1.0,1661.79
HR,Salaries,3163.32,BE55,Belgium,2023-02-28,2542.16,EUR,1.0,2542.16
HR,Training,4703.0,BE55,Belgium,2023-02-28,4024.19,EUR,1.0,4024.19
HR,Recruitment,2661.61,BE55,Belgium,2023-02-28,2685.24,EUR,1.0,2685.24
Medical,Medications,4502.85,BE55,Belgium,2023-02-28,4553.77,EUR,1.0,4553.77
Medical,Medical Equipment,3096.96,BE55,Belgium,2023-02-28,2481.49,EUR,1.0,2481.49
Medical,Consultations,4940.52,BE55,Belgium,2023-02-28,5311.62,EUR,1.0,5311.62
Logistics,Fuel,1043.97,BE55,Belgium,2023-02-28,996.35,EUR,1.0,996.35
Logistics,Transport,2826.67,BE55,Belgium,2023-02-28,2491.7,EUR,1.0,2491.7
Logistics,Vehicle Maintenance,4109.97,BE55,Belgium,2023-02-28,4415.35,EUR,1.0,4415.35
Supply,Supplies,4189.52,BE55,Belgium,2023-02-28,3367.33,EUR,1.0,3367.33
Supply,Warehousing,1934.94,BE55,Belgium,2023-02-28,2113.8,EUR,1.0,2113.8
Supply,Cold Chain,3767.57,BE55,Belgium,2023-02-28,3467.93,EUR,1.0,3467.93
HR,Salaries,2980.86,BE55,Belgium,2023-03-31,3146.89,EUR,1.0,3146.89
HR,Training,2617.24,BE55,Belgium,2023-03-31,2222.17,EUR,1.0,2222.17
HR,Recruitment,2776.44,BE55,Belgium,2023-03-31,2847.87,EUR,1.0,2847.87
Medical,Medications,4653.87,BE55,Belgium,2023-03-31,4706.41,EUR,1.0,4706.41
Medical,Medical Equipment,2296.91,BE55,Belgium,2023-03-31,2311.32,EUR,1.0,2311.32
Medical,Consultations,3528.97,BE55,Belgium,2023-03-31,3124.27,EUR,1.0,3124.27
Logistics,Fuel,4611.07,BE55,Belgium,2023-03-31,4912.14,EUR,1.0,4912.14
Logistics,Transport,1453.57,BE55,Belgium,2023-03-31,1343.89,EUR,1.0,1343.89
Logistics,Vehicle Maintenance,3427.49,BE55,Belgium,2023-03-31,3290.08,EUR,1.0,3290.08
Supply,Supplies,3886.93,BE55,Belgium,2023-03-31,3404.59,EUR,1.0,3404.59
Supply,Warehousing,4001.33,BE55,Belgium,2023-03-31,3844.38,EUR,1.0,3844.38
Supply,Cold Chain,1217.35,BE55,Belgium,2023-03-31,997.93,EUR,1.0,997.93
HR,Salaries,4500.61,BE55,Belgium,2023-04-30,3760.19,EUR,1.0,3760.19
HR,Training,3674.18,BE55,Belgium,2023-04-30,2949.95,EUR,1.0,2949.95
HR,Recruitment,1896.25,BE55,Belgium,2023-04-30,1720.48,EUR,1.0,1720.48
Medical,Medications,2348.66,BE55,Belgium,2023-04-30,2266.09,EUR,1.0,2266.09
Medical,Medical Equipment,2482.45,BE55,Belgium,2023-04-30,2250.42,EUR,1.0,2250.42
Medical,Consultations,2789.0,BE55,Belgium,2023-04-30,2616.23,EUR,1.0,2616.23
Logistics,Fuel,4909.3,BE55,Belgium,2023-04-30,5013.66,EUR,1.0,5013.66
Logistics,Transport,3722.52,BE55,Belgium,2023-04-30,3244.81,EUR,1.0,3244.81
Logistics,Vehicle Maintenance,2227.92,BE55,Belgium,2023-04-30,2242.88,EUR,1.0,2242.88
Supply,Supplies,1448.62,BE55,Belgium,2023-04-30,1574.31,EUR,1.0,1574.31
Supply,Warehousing,4763.14,BE55,Belgium,2023-04-30,5200.14,EUR,1.0,5200.14
Supply,Cold Chain,4718.94,BE55,Belgium,2023-04-30,4301.81,EUR,1.0,4301.81
HR,Salaries,2152.06,BE55,Belgium,2023-05-31,1834.48,EUR,1.0,1834.48
HR,Training,3406.63,BE55,Belgium,2023-05-31,3007.8,EUR,1.0,3007.8
HR,Recruitment,3413.69,BE55,Belgium,2023-05-31,3271.13,EUR,1.0,3271.13
Medical,Medications,3001.79,BE55,Belgium,2023-05-31,2478.64,EUR,1.0,2478.64
Medical,Medical Equipment,2839.61,BE55,Belgium,2023-05-31,2479.38,EUR,1.0,2479.38
Medical,Consultations,4147.27,BE55,Belgium,2023-05-31,4409.16,EUR,1.0,4409.16
Logistics,Fuel,4697.71,BE55,Belgium,2023-05-31,4923.08,EUR,1.0,4923.08
Logistics,Transport,3423.53,BE55,Belgium,2023-05-31,3524.72,EUR,1.0,3524.72
Logistics,Vehicle Maintenance,3663.22,BE55,Belgium,2023-05-31,3305.79,EUR,1.0,3305.79
Supply,Supplies,4099.46,BE55,Belgium,2023-05-31,4207.48,EUR,1.0,4207.48
Supply,Warehousing,2400.4,BE55,Belgium,2023-05-31,1966.68,EUR,1.0,1966.68
Supply,Cold Chain,1407.7,BE55,Belgium,2023-05-31,1190.47,EUR,1.0,1190.47
HR,Salaries,2714.83,BE55,Belgium,2023-06-30,2944.49,EUR,1.0,2944.49
HR,Training,4094.69,BE55,Belgium,2023-06-30,3758.05,EUR,1.0,3758.05
HR,Recruitment,4284.38,BE55,Belgium,2023-06-30,4353.36,EUR,1.0,4353.36
Medical,Medications,1317.19,BE55,Belgium,2023-06-30,1104.66,EUR,1.0,1104.66
Medical,Medical Equipment,2524.84,BE55,Belgium,2023-06-30,2293.17,EUR,1.0,2293.17
Medical,Consultations,4107.7,BE55,Belgium,2023-06-30,4493.61,EUR,1.0,4493.61
Logistics,Fuel,4582.53,BE55,Belgium,2023-06-30,5003.01,EUR,1.0,5003.01
Logistics,Transport,3654.31,BE55,Belgium,2023-06-30,3715.22,EUR,1.0,3715.22
Logistics,Vehicle Maintenance,1078.48,BE55,Belgium,2023-06-30,934.68,EUR,1.0,934.68
Supply,Supplies,4542.69,BE55,Belgium,2023-06-30,4529.41,EUR,1.0,4529.41
Supply,Warehousing,2545.57,BE55,Belgium,2023-06-30,2448.58,EUR,1.0,2448.58
Supply,Cold Chain,3155.24,BE55,Belgium,2023-06-30,3386.63,EUR,1.0,3386.63
HR,Salaries,3343.83,BE55,Belgium,2023-07-31,3615.52,EUR,1.0,3615.52
HR,Training,2619.73,BE55,Belgium,2023-07-31,2523.26,EUR,1.0,2523.26
HR,Recruitment,3998.01,BE55,Belgium,2023-07-31,3967.86,EUR,1.0,3967.86
Medical,Medications,4229.83,BE55,Belgium,2023-07-31,3455.81,EUR,1.0,3455.81
Medical,Medical Equipment,2714.64,BE55,Belgium,2023-07-31,2503.4,EUR,1.0,2503.4
Medical,Consultations,4015.1,BE55,Belgium,2023-07-31,4326.76,EUR,1.0,4326.76
Logistics,Fuel,2376.93,BE55,Belgium,2023-07-31,2518.06,EUR,1.0,2518.06
Logistics,Transport,2362.14,BE55,Belgium,2023-07-31,2001.67,EUR,1.0,2001.67
Logistics,Vehicle Maintenance,3670.8,BE55,Belgium,2023-07-31,4009.93,EUR,1.0,4009.93
Supply,Supplies,1152.77,BE55,Belgium,2023-07-31,1022.64,EUR,1.0,1022.64
Supply,Warehousing,1695.53,BE55,Belgium,2023-07-31,1437.26,EUR,1.0,1437.26
Supply,Cold Chain,3738.93,BE55,Belgium,2023-07-31,3415.72,EUR,1.0,3415.72
